Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Joe Gordon,- - -,1566,6536,1530,253,914,975,89,11.60%,10.70%,0.197,0.269,0.268,0.357,0.466,0.379,121,-9.3,159.2,209.5,60.6,1004874
Joe Jackson,- - -,1332,5690,1772,54,873,785,202,9.10%,3.70%,0.162,0.351,0.356,0.423,0.517,0.443,165,-10.6,418.6,-49.1,60.5,1006301
Billy Williams,- - -,2488,10519,2711,426,1410,1475,90,9.90%,9.90%,0.202,0.287,0.29,0.361,0.492,0.376,132,2.1,379.1,-181.2,60.4,1013975
Frank Baker,- - -,1575,6660,1838,96,887,987,235,7.10%,4.40%,0.135,0.303,0.307,0.363,0.442,0.384,134,0.8,251.8,82.8,60.1,1000453
Sammy Sosa,- - -,2354,9896,2408,609,1475,1667,234,9.40%,23.30%,0.261,0.301,0.273,0.344,0.534,0.37,124,-7.9,300.4,-8.1,60.1,302
Max Carey,- - -,2476,10770,2665,70,1545,800,738,9.70%,6.50%,0.101,0.302,0.285,0.361,0.386,0.357,110,93.3,221,7.1,60.1,1001944
Jack Glasscock,- - -,1736,7535,2040,27,1163,825,372,5.80%,2.90%,0.084,0.293,0.29,0.337,0.374,0.336,110,18.3,127.5,251.2,60.1,1004757
Dave Winfield,- - -,2973,12358,3110,465,1669,1833,223,9.80%,13.60%,0.192,0.296,0.283,0.353,0.475,0.364,128,5.9,406.5,-243.9,59.9,1014127
Andre Dawson,- - -,2627,10768,2774,438,1373,1591,314,5.50%,14.00%,0.203,0.288,0.279,0.323,0.482,0.35,117,18.8,230.5,-11.8,59.5,1003091
Keith Hernandez,- - -,2088,8553,2182,162,1124,1071,98,12.50%,11.80%,0.14,0.322,0.296,0.384,0.436,0.365,131,-5.8,294.3,0.3,59.4,1005706
Bobby Abreu,- - -,2425,10081,2470,288,1453,1363,400,14.60%,18.30%,0.183,0.339,0.291,0.395,0.475,0.378,129,33.8,415.5,-143.4,59.2,945
Tony Perez,- - -,2777,10861,2732,379,1272,1652,49,8.50%,17.20%,0.184,0.308,0.279,0.341,0.463,0.356,121,-0.7,263,-75.1,58.9,1010188
